,game1,game2
2396,4904,7491
2398,4908,7313
2399,4910,6120
2400,4911,7281
2401,4912,7496
2403,4916,6764
2404,4917,6047
2405,4918,7296
2406,4919,7497
2407,4920,7298
2408,4921,6167
2409,4922,7264
2410,4924,7492
2411,4926,6035
2412,4928,6081
2413,4929,6175
2414,4930,6788
2415,4931,6242
2416,4932,6259
2417,4933,7513
2418,4934,5979
2419,4935,6186
2420,4936,6188
2421,4937,6189
2423,4939,6212
2424,4940,7503
2425,4941,6194
2426,4942,6664
2427,4944,6196
2428,4945,7045
2429,4947,5444
2430,4948,7338
2431,4952,7246
2432,4958,6085
2433,4959,6207
2434,4960,7514
2436,4963,5236
2437,4964,6661
2438,4965,7451
2439,4966,6657
2440,4969,5527
2441,4970,6103
2442,4971,6257
2443,4972,6106
2444,4974,5825
2445,4975,6113
2446,4976,6311
2447,4978,6166
2448,4979,6215
2449,4980,6119
2450,4981,5942
2451,4982,6267
2452,4983,6122
2453,4984,6689
2454,4985,6227
2455,4986,6124
2458,4990,6109
2459,4991,7421
2460,4994,6280
2461,4996,6272
2462,4997,6179
2463,4999,6283
2464,5001,6032
2465,5003,6140
2466,5005,6141
2467,5006,7428
2468,5008,6150
2469,5009,6151
2470,5010,5815
2471,5011,6639
2472,5012,6155
2473,5013,7061
2474,5015,6162
2475,5018,7445
2476,5020,7439
2477,5021,6172
2478,5023,6030
2479,5024,6294
2481,5028,6058
2482,5029,6461
2483,5030,5889
2484,5031,6052
2485,5033,6297
2486,5034,6298
2487,5035,6341
2488,5036,6285
2489,5038,6299
2490,5039,6301
2491,5040,6091
2492,5041,6302
2493,5042,5432
2494,5043,6061
2495,5044,6062
2496,5046,6762
2497,5047,6065
2498,5049,6645
2499,5052,6093
2500,5053,5780
2501,5054,6421
2502,5056,7450
2503,5057,6204
2504,5058,7331
2505,5059,7519
2506,5062,7391
2507,5063,7437
2508,5064,6250
2509,5065,6077
2510,5066,6785
2514,5071,7102
2515,5072,5820
2516,5076,5831
2517,5077,6274
2519,5080,6375
2522,5083,5843
2524,5089,7088
2525,5092,6232
2526,5093,6233
2527,5095,7152
2528,5096,6522
2529,5097,6118
2530,5099,5885
2531,5100,6056
2533,5103,6181
2534,5104,6979
2535,5105,6587
2536,5106,5962
2538,5109,6202
2539,5110,6253
2540,5111,6462
2541,5113,5648
2543,5115,6573
2544,5116,6724
2545,5119,6174
2546,5121,5907
2547,5122,6636
2548,5124,6277
2549,5125,6468
2550,5126,6289
2551,5127,6268
2552,5129,6384
2553,5130,6386
2555,5134,6273
2557,5136,6481
2558,5137,6275
2559,5138,6405
2560,5139,6852
2561,5140,6417
2562,5142,6284
2563,5143,6408
2564,5145,6292
2565,5148,6575
2566,5150,6467
2567,5151,6470
2568,5152,6459
2569,5153,6453
2571,5155,6345
2573,5158,7023
2574,5160,6493
2575,5161,6465
2576,5162,6383
2577,5163,6952
2578,5165,6640
2579,5166,5819
2580,5168,5823
2581,5169,6342
2582,5170,6321
2583,5172,6313
2584,5174,6480
2585,5175,6409
2586,5177,7277
2587,5178,6430
2588,5179,6435
2589,5180,6491
2590,5182,6334
2591,5183,6431
2592,5184,6445
2593,5185,6452
2594,5186,6239
2595,5187,6637
2596,5188,6337
2597,5190,6628
2598,5192,6532
2599,5193,6508
2600,5196,6317
2601,5197,6349
2602,5198,5669
2603,5199,6344
2604,5200,6635
2605,5201,6944
2606,5202,6325
2607,5203,6343
2608,5204,6352
2609,5206,6381
2610,5207,6565
2612,5209,6535
2613,5210,6901
2614,5211,6692
2615,5212,6733
2616,5213,6477
2617,5214,6479
2618,5216,6487
2619,5217,6796
2620,5218,6472
2621,5219,6373
2622,5220,6307
2624,5222,6557
2625,5223,6824
2626,5224,6416
2628,5227,6444
2629,5228,6880
2630,5229,6312
2631,5230,6382
2632,5231,6073
2633,5232,6385
2634,5234,6387
2635,5235,5795
2637,5237,5821
2638,5238,6884
2639,5239,6676
2640,5240,6315
2641,5242,6393
2642,5243,6681
2643,5244,6395
2644,5245,6396
2645,5246,6224
2646,5248,6683
2647,5249,6399
2648,5250,5830
2649,5251,6669
2650,5252,6972
2651,5253,6276
2652,5254,6407
2653,5255,7006
2654,5256,6361
2655,5257,6929
2656,5258,6324
2657,5259,6410
2658,5260,6495
2659,5261,6834
2660,5262,6412
2661,5263,5554
2662,5266,6611
2663,5267,6418
2664,5268,7209
2665,5270,6709
2666,5271,6422
2667,5274,7086
2668,5276,7186
2669,5278,6427
2670,5280,6329
2671,5281,6566
2672,5283,7019
2673,5284,6810
2674,5285,6428
2675,5286,6331
2676,5287,6364
2677,5289,7007
2679,5291,6440
2680,5292,6814
2681,5293,6363
2682,5294,7122
2683,5295,6335
2684,5298,6447
2685,5299,6642
2686,5300,6644
2687,5301,6735
2688,5302,6570
2689,5303,6454
2690,5305,6457
2691,5306,6741
2692,5307,5971
2693,5308,6433
2694,5309,6771
2695,5310,6536
2696,5311,6340
2697,5312,6464
2698,5313,6400
2699,5314,6308
2700,5315,6822
2701,5316,6538
2702,5317,6574
2703,5318,6589
2704,5319,6590
2705,5320,6588
2706,5321,7448
2707,5322,6556
2708,5323,6485
2709,5324,7035
2710,5325,6632
2711,5326,6474
2712,5327,6496
2713,5328,6490
2714,5329,6441
2715,5330,6346
2716,5331,6568
2717,5332,5909
2718,5333,7046
2719,5334,6767
2720,5335,6351
2721,5336,6429
2722,5337,6486
2723,5338,6355
2724,5339,6488
2725,5340,6348
2726,5341,6808
2727,5342,6330
2728,5343,6476
2729,5344,6650
2730,5345,6529
2731,5346,6544
2733,5349,5919
2734,5351,6956
2735,5352,6561
2736,5353,6031
2737,5354,6507
2738,5356,6509
2739,5357,6512
2740,5358,6137
2741,5359,6604
2742,5361,6403
2743,5362,6076
2744,5363,7101
2745,5364,6978
2746,5365,6515
2747,5366,6517
2748,5367,6802
2749,5368,6803
2750,5369,6717
2751,5370,6711
2752,5372,6524
2753,5373,6500
2754,5374,6658
2755,5375,7092
2758,5378,6165
2759,5379,6528
2760,5380,6082
2761,5381,7199
2762,5382,6530
2763,5383,6534
2764,5384,6818
2765,5385,6554
2766,5386,6719
2767,5388,6745
2768,5389,5689
2769,5390,6838
2770,5391,6497
2771,5393,6353
2772,5394,6540
2773,5395,6542
2774,5396,6777
2775,5397,6029
2776,5399,6729
2777,5400,6899
2778,5401,6871
2779,5402,7021
2781,5405,6584
2782,5406,7370
2783,5407,6564
2785,5409,6380
2786,5410,6560
2787,5411,6504
2788,5413,6357
2789,5414,6406
2792,5417,7064
2793,5418,6685
2794,5419,6694
2795,5420,6779
